ANOENC;NUMERO;Seguro_salud;TAMAMU;NMIEMB;NMIEM2;NUMOCUP;TIPHOGAR3;EDADSP;SEXOSP;ESTUDREDSP;OCUSP;INTERINPSP;REGTEN;SUPERF;INTERIN
2018;608;0;3;01;00;00; 2;49; 1; 4; 2;  ;1;090;01
2018;609;1;5;02;00;00; 4;82; 1; 1; 2;02;1;140;03
2018;610;0;1;02;00;02; 5;26; 1; 3; 1;04;3;060;06
2018;611;0;2;05;00;01;10;51; 6; 4; 1;-9;1;090;03
2018;612;0;3;04;01;01; 7;53; 1; 2; 1;03;1;060;03
2018;613;0;3;01;00;00; 2;49; 1; 2; 2;02;3; -9;02
2018;614;0;3;02;00;02; 5;49; 6; 4; 1;04;1;090;06
2018;615;0;3;04;02;02; 7;49; 1; 3; 1;04;2;084;06
2018;616;0;1;03;02;01; 9;46; 6; 4; 1;03;2;090;03
2018;617;0;3;02;00;00; 4;77; 1; 1; 2;04;1;100;05
2018;618;0;2;04;00;03;10;58; 1; 2; 1;05;1;090;08
2018;619;0;1;02;00;02; 5;31; 1; 4; 1;03;6;065;06
2018;620;0;4;01;00;00; 1;85; 6; 1; 2;02;1;070;02
2018;621;0;1;02;00;01; 5;35; 1; 4; 1;05;1;065;05
2018;622;0;5;04;02;02; 7;41; 1; 2; 1;04;2;180;07
2018;623;0;1;04;00;02; 7;50; 6; 4; 1;07;2;140;08
2018;624;0;4;04;00;00;10;78; 1; 1; 2;02;1;120;05
2018;625;0;5;02;00;00; 4;67; 1; 1; 2;02;5;085;02
2018;626;0;2;03;00;01;10;54; 1; 2; 1;03;1;085;04
2018;627;0;3;02;00;01; 9;46; 6; 4; 1;02;3;050;02
2018;628;0;1;02;00;00; 4;70; 1; 1; 2;03;2;090;03
2018;629;0;3;03;00;01;10;68; 1; 2; 2;02;1; -9;03
2018;630;0;1;02;01;01; 9;53; 6; 4; 1;07;1;050;07
2018;631;0;5;02;00;00; 5;60; 6; 1; 2;01;2;200;01
2018;632;0;3;01;00;00; 1;79; 6; 1; 2;02;1;080;02
2018;633;0;5;02;00;02; 5;36; 1; 4; 1;03;2;088;04
2018;634;0;4;03;00;00;10;74; 1; 1; 2;04;1;200;05
2018;635;0;5;02;00;00; 5;63; 1; 1; 2;03;1;120;03
2018;636;0;4;04;01;01; 7;53; 1; 2; 1;04;2;140;04
